"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: prompt",Expanded: completion
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: cackling man with mustache","Expanded: Film still of a cackling man, bushy moustache, extreme close-up shot"
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: gangster squirrel","Expanded: Film still, gangster squirrel counting his money, low angle, shot from below, worms eye view"
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: farmer's market photo","Expanded: Film still, establishing shot of bustling farmers market, golden hour, high angle"
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded:  cute pig in a big blue hat","Expanded: High-quality DSLR photo of cute pig in a big blue hat in a Dickensian back street at dusk, long shadows, beams of sunlight"
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: a mysterious goddess","Expanded: 3 d goddess close - up 3 / 4 portrait with ram skull. beautiful intricately detailed japanese crow kitsune mask and clasical japanese kimono. betta fish, jellyfish phoenix, bio luminescent, plasma, ice, water, wind, creature, artwork by tooth wu and wlop and beeple and greg rutkowski "
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: a unicorn relaxing","Expanded: unicorn relaxing, teed relaxing colorful, modern, disney, in style of pixar, highly detailed, sharp focus, digital painting "
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: sci fi cover art","Expanded: 1 9 8 0 s sci - fi cover art, tim hildebrandt, wayne barlowe, syd mead, john harris, bruce pennington, donato giancola, larry elmore, oil on canvas, artstation, pixiv, cinematic composition, dramatic, beautiful lighting, sharp, details, hd, hdr, 4 k "
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: wood elf cybin digital painting","Expanded: moonshine cybin, buxom epic level dnd wood elf spore druidess, wielding a magical sword, wearing magical overalls. covered in various fungi. full character concept art, realistic, high detail digital painting by angus mcbride and michael whelan and michael william kaluta. "
"You will be shown a series of captions for images. Please write augmented, expanded, enhanced versions of the captions, that describe more detail the types of vibes, illustration, lighting, photography, historical era, textures, listings on artstation, and other properties that might be relevant based on the original prompt. 
Please answer with this format: 

Original: {Original Caption}
Expanded: {Expanded Caption}

Examples: 

Original: A ufo landing
Expanded: A ufo landing, sci-fi, metallic, unreal engine, trending on artstation

Original: a glass doll
Expanded: epic detailed dragon painting","Expanded: giant oriental dragon in the sky, d & d, fantasy, portrait, highly detailed, headshot, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve "
